N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_min,wu_faithful_np_original_target,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projection_residual,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error
0.0,0.0,1.813184899976477,0.0,0.0,0.0,316.0,54,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,247.5188525915067,0.0,247.5188525915067
0.0,0.0,1.759180599998217,0.0,0.0,0.0,340.0,55,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,293.19688026922887,0.0,293.19688026922887
0.0,0.0,1.7802542999852449,0.0,0.0,0.0,323.0,56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,265.8706556083024,0.0,265.8706556083024
0.0,0.0,1.725995699991472,0.0,0.0,0.0,344.0,57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.17961245750803,0.0,268.17961245750803
0.0,0.0,1.8175462000072002,0.0,0.0,0.0,323.0,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.1656886177416,0.0,266.1656886177416
0.0,0.0,1.7234695999650285,0.0,0.0,0.0,345.0,59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.0578914105735,0.0,268.0578914105735
0.0,0.0,1.7130708000040613,0.0,0.0,0.0,323.0,60,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.17234699931083,0.0,266.17234699931083
0.0,0.0,1.7863153000362217,0.0,0.0,0.0,345.0,61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.0634364711638,0.0,268.0634364711638
0.0,0.0,1.85643370001344,0.0,0.0,0.0,323.0,62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.1728839349082,0.0,266.1728839349082
0.0,0.0,1.7936544000403956,0.0,0.0,0.0,345.0,63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.063810488463,0.0,268.063810488463
0.0,0.0,1.8229489999939688,0.0,0.0,0.0,323.0,64,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.17289415201003,0.0,266.17289415201003
0.0,0.0,1.8759211000287905,0.0,0.0,0.0,345.0,65,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.0638407434703,0.0,268.0638407434703
0.0,0.0,1.7917036999715492,0.0,0.0,0.0,323.0,66,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.1728946030954,0.0,266.1728946030954
0.0,0.0,1.8462140999617986,0.0,0.0,0.0,345.0,67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.06384278597665,0.0,268.06384278597665
0.0,0.0,1.7143068999866955,0.0,0.0,0.0,323.0,68,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.17289468634766,0.0,266.17289468634766
0.0,0.0,1.908710699994117,0.0,0.0,0.0,345.0,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.0638429530244,0.0,268.0638429530244
0.0,0.0,1.7342070000013337,0.0,0.0,0.0,323.0,70,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.17289469084454,0.0,266.17289469084454
0.0,0.0,1.744170900026802,0.0,0.0,0.0,345.0,71,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.06384296529893,0.0,268.06384296529893
0.0,0.0,1.791144099959638,0.0,0.0,0.0,323.0,72,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.1728946911656,0.0,266.1728946911656
0.0,0.0,1.8065318000153638,0.0,0.0,0.0,345.0,73,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.0638429662813,0.0,268.0638429662813
0.0,0.0,1.7034895999822766,0.0,0.0,0.0,323.0,74,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.17289469119595,0.0,266.17289469119595
0.0,0.0,1.7077275000046939,0.0,0.0,0.0,345.0,75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.0638429663522,0.0,268.0638429663522
0.0,0.0,1.6972348999697715,0.0,0.0,0.0,323.0,76,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.172894691198,0.0,266.172894691198
0.0,0.0,1.8641004000091925,0.0,0.0,0.0,345.0,77,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.0638429663578,0.0,268.0638429663578
0.0,0.0,1.7736606000107713,0.0,0.0,0.0,323.0,78,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.17289469119817,0.0,266.17289469119817
0.0,0.0,1.7281370999990031,0.0,0.0,0.0,345.0,79,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.06384296635827,0.0,268.06384296635827
